name;aliases;admin1;population;lat;lon
Lichterfelde;Gross Lichterfelde;BE;85885;52.4333;13.30762
Flensburg;Flensboarch|Flensborag|Flensborg|Flensbourg|Flensburga;SH;85838;54.78805;9.43722
Wedding;Berlin-Wedding;BE;85275;52.54734;13.35594
Cottbus;;BB;84754;51.75769;14.32888
Wilhelmshaven;;NI;84393;53.5476;8.10395
Hellersdorf;Berlin-Hellersdorf;BE;84103;52.53319;13.6088
Reinickendorf;Berlin-Reinickendorf;BE;83972;52.56395;13.33552
Minden;Mindeno;NW;82879;52.28953;8.91455
Norderstedt;Nordershtedt|Nordershtet|Norderstedt Stadt;SH;82844;53.70177;9.99328
Villingen-Schwenningen;Villingen Schwenningen|Villingen-Shvenningen;BW;81770;48.06226;8.49358
Konstanz;Costnitz|Kostnitz|Konstanc|Konstanca|Konstancas;BW;81275;47.66033;9.17582
Worms;Wormacja|Wormatia;RP;81099;49.63278;8.35916
Berlin-Moabit;Moabit;BE;81021;52.52635;13.33903
Neumünster;Neumunster;SH;80196;54.07399;9.98456
Dorsten;;NW;79981;51.66166;6.96514
Lüdenscheid;;NW;79386;51.21977;7.6273
Marburg;Marburg an der Lahn|Marbourg|Marburgo;HE;78895;50.80904;8.77069
Rheinhausen;;NW;78203;51.40055;6.71187
Castrop-Rauxel;Stadt Castrop-Rauxel;NW;77924;51.55657;7.31155
Bogenhausen;;BY;77542;48.15221;11.61585
Rheine;;NW;76491;52.28509;7.44055
Viersen;;NW;76153;51.25435;6.39441
Delmenhorst;Delmenkhorst;NI;75893;53.0511;8.63091
Gladbeck;Gladbek|Gladbeki|gladbk;NW;75499;51.57077;6.98593
Arnsberg;Arnsberga|Arnsbergas|Arnsberge|arnsbrg|arnsbrgh;NW;74879;51.38333;8.08333
Troisdorf;;NW;74749;50.80901;7.14968
Wattenscheid;Bochum-Wattenscheid|Wattsche;NW;73965;51.48057;7.14251
Bocholt;;NW;73943;51.83879;6.61531
Detmold;Detmol'd|Detmolda|Detmoldas;NW;73680;51.93855;8.87318
Bayreuth;Bayreith|bayrwyt;BY;72940;49.94782;11.57893
Steglitz;Berlin-Steglitz|Steglitz Bezirk;BE;72464;52.45606;13.332
Landshut;Landishuta|Landsgut|Landshuad|Landshutas|Landskhut;BY;71863;48.52961;12.16179
Lüneburg;;NI;71260;53.25122;10.41548
Hamburg-Billstedt;Billstedt;HH;71077;53.55;10.13333
Celle;Cella|Celle i Tyskland;NI;71010;52.62264;10.08047
Bamberg;Bambarg|Bamberga|Bambergas|Bamberk|bambeleukeu;BY;70047;49.89873;10.90067
Aschaffenburg;Aschaffenburg / Bayern|Aschaffenbourg|Aschaffenburgum;BY;68551;49.97704;9.15214
Neubrandenburg;Neubrandenbourg;MV;68082;53.55735;13.26105
Dessau;Dessau-Roßlau|Dessavia;ST;67747;51.83864;12.24555
Lippstadt;Lippshtadt|Lippshtadte;NW;67219;51.67369;8.34482
Berlin-Köpenick;Köpenick;BE;67148;52.4455;13.57455
Aalen;Alen|aaleni;BW;67085;48.83777;10.0933
Dinslaken;Dinslakena|Dinslakeno;NW;66993;51.56227;6.7434
Neuwied;Neuweid;RP;66805;50.4336;7.47057
Unna;;NW;66734;51.53795;7.68969
Plauen;Plauehn|Plauenas|Plauene;SN;66412;50.4973;12.13782
Pankow;Pankov|pankw;BE;65375;52.56926;13.40186
Herten;Kherten;NW;65306;51.59638;7.14387
Herford;Herfordo|Kherford;NW;64879;52.11457;8.67343
Grevenbroich;Grevenbroichas|Grevenbroikh|Grevenbrokh;NW;64779;51.09102;6.5827
Weimar;;TH;64727;50.9803;11.32903
Kerpen;Kerpe;NW;64226;50.86991;6.69691
Fulda;;HE;63760;50.55162;9.67518
Dormagen;Dormaje;NW;63582;51.09683;6.83167
Bergheim;Bergem|Bergheim an der Erft;NW;63558;50.95572;6.63986
Garbsen;Garbseno|Garbzen|Olengarbsen|garbzn;NI;63355;52.41371;9.5899
Tempelhof;Berlin-Tempelhof|Tempel'gof|Tempel'khof|Templinum;BE;61769;52.46667;13.4
Wesel;;NW;61685;51.6669;6.62037
Kempten;Kempten (Allgäu);BY;61399;47.72674;10.31389
Sindelfingen;;BW;61311;48.7;9.01667
Schwäbisch Gmünd;Gmünd;BW;61216;48.79947;9.79809
Rosenheim;;BY;60167;47.85637;12.12247
Brandenburg an der Havel;Brandebourg-sur-la-Havel|Brandeburgas|Brandeburgo sulla Havel|Brandenburg|Brandenburg na Khafelu;BB;59826;52.41667;12.55
Rüsselsheim am Main;Ruesselsheim;HE;59730;49.98955;8.42251
Köpenick;Berlin Köpenick|Berlin-Köpenick;BE;59561;52.44254;13.58228
Offenburg;Offenbourg|Offenburgum|offenburuku;BW;59238;48.47377;7.94495
Langenfeld;Langefaeael|Langenfel'd|lang gen fei er de|langnfld;NW;59112;51.10821;6.94831
Stralsund;Stralsunda|Stralzunde;MV;58976;54.30911;13.0818
Hameln;Hamelen|Hamelin|Khameln|hamelleun|hamerun;NI;58666;52.10397;9.35623
Friedrichshafen;;BW;58403;47.65689;9.47554
Göppingen;;BW;58040;48.70354;9.65209
Görlitz;;SN;57751;51.15518;14.98853
Stolberg, Rheinland;Stolberg|Stolberg  Rheinland|Stolbersch;NW;57684;50.77368;6.22595
Frankfurt (Oder);Frankfurt an der Oder|Frankfurt|Frankfurt/Oder|Frankfordt|Francfort;BB;57107;52.34714;14.55062
Berlin-Neu-Hohenschönhausen;Neu-Hohenschönhausen;BE;56921;52.56681;13.51255
Baden-Baden;Badehn-Badehn|Baden|Badenas-Badenas|Badenbadene|baden=baden;BW;56881;48.7606;8.23975
Hattingen;Khattingen;NW;56866;51.39894;7.18557
Hilden;Hilde|Khilden;NW;56565;51.16818;6.93093
Hamburg-Winterhude;Winterhude|Hamborg-Winterhuud;HH;56382;53.59368;10.01123
St. Augustin;Sankt Augustin;NW;56094;50.77538;7.197
Eschweiler;;NW;55778;50.81854;6.27184
Friedrichsfelde;Berlin-Friedrichsfelde;BE;55423;52.50575;13.50812
Ahlen;;NW;55280;51.76338;7.8887
Bad Salzuflen;Bad Zalcuflen|bad zaltswfln;NW;54899;52.0862;8.74434
Euskirchen;;NW;54889;50.66057;6.78722
Meerbusch;;NW;54826;51.25268;6.68807
Wolfenbüttel;Wolfenbuttel;NI;54740;52.16442;10.54095
Hürth;;NW;54678;50.87079;6.86761
Zehlendorf;;BE;54328;52.43333;13.25
Schweinfurt;;BY;54012;50.04937;10.22175
Neustadt an der Weinstraße;Neustadt|Neustadt an der Haardt|Neustadt ce la Vinstrato;RP;53984;49.35009;8.13886
Pulheim;;NW;53762;50.99965;6.80632
Gummersbach;Gummersbakh;NW;53131;51.02608;7.56473
Hamburg-Wilhelmsburg;Wilhelmsburg;HH;53064;53.49283;10.01372
Waiblingen;Waiblinga;BW;52945;48.83241;9.31641
Nordhorn;Nordkhorn;NI;52803;52.43081;7.06833
Berlin-Mariendorf;Mariendorf;BE;52734;52.4378;13.38109
Greifswald;Greifswald / Vorpommern|Universitäts- und Hansestadt Greifswald|Universitats- und Hansestadt Greifswald|Greifsvaldas|Greifsvalde;MV;52731;54.08905;13.40244
Cuxhaven;Cuxhoben|Cuxhuuwen;NI;52677;53.86828;8.69902
Wetzlar;Wetzlaria;HE;52656;50.56109;8.50495
Menden;;NW;52452;51.44337;7.77825
Bergkamen;;NW;52329;51.61633;7.64451
Frechen;Frechem;NW;52309;50.91485;6.8118
Berlin-Lichtenrade;Lichtenrade;BE;52110;52.39844;13.40637
Bad Homburg vor der Höhe;Bad Homburg|Bad Homburg v.d. Hoehe|Bad Khomburg|Homburg vor der Höhe|bad h xm bur kf xrde xr hex xex;HE;51859;50.22683;8.61816
Willich;;NW;51843;51.26371;6.54734
Emden;;NI;51526;53.36592;7.20846
Neu-Ulm;Subdistrikto Neu-Ulm;BY;51389;48.39279;10.01112
Lingen;Lingen (Ems);NI;51310;52.52269;7.32555
Erftstadt;Erftshtadt|Erftshtat;NW;51207;50.81481;6.79387
Neubrück;;NW;51109;51.13434;6.63857
Lahr/Schwarzwald;Lahr;BW;50775;48.34042;7.86886
Ibbenbüren;Ibbenbjuren;NW;50577;52.27964;7.71457
Passau;Passaou|Passavia;BY;50560;48.5665;13.43122
Gronau;;NW;50547;52.21099;7.02238
Langenhagen;Langenhageno|Langenhogen|Langenkhagen|lang gen ha gen|langhnhaghn;NI;50439;52.44758;9.73741
Schwerte;Schweierte;NW;50399;51.44387;7.5675
Speyer;;RP;50343;49.32083;8.43111
Berlin-Alt-Hohenschönhausen;Alt-Hohenschönhausen;BE;50070;52.54608;13.5013
Heidenheim an der Brenz;Heidenheim|Heidenheim in Wurttemberg|Heidenheim in Württemberg;BW;50067;48.67798;10.15162
Treptow;;BE;50000;52.49376;13.44469
Peine;;NI;49953;52.31928;10.2352
Neunkirchen;;SL;49843;49.34449;7.18045
Bad Oeynhausen;Bad Oajnkhauzen|Bad Oeyhausen|bad awynhawzn;NW;49513;52.20699;8.80365
Leonberg;Leonberg / Baden-Württemb.|Leonberq|Leonsberg|leonbergi;BW;49480;48.8;9.01667
Hof;Hof an der Saale|Hofas|Khof|hofu;BY;49239;50.31297;11.91261
Kleve;Klevo;NW;49072;51.78826;6.13865
Ravensburg;Ravensbourg|Ravensburgas|Ravenzburg;BW;48825;47.78198;9.61062
Elmshorn;Elmshornas|Elmskhorn;SH;48703;53.74912;9.66176
Bornheim;Borngajm|Bornkhajm;NW;48523;50.76313;6.99089
Soest;;NW;48037;51.57558;8.10619
Hennef (Sieg);Hennef;NW;48002;50.77555;7.28308
Rastatt;rastat;BW;47906;48.85851;8.20965
Erkrath;Erkrat;NW;47815;51.22235;6.90831
Bruchsal;Bruchsalia;BW;47784;49.12426;8.59804
Weißensee;;BE;47693;52.55632;13.46649
Singen;singena;BW;47621;47.75935;8.8403
Stuttgart-Ost;;BW;47500;48.78363;9.21032
Dülmen;;NW;47495;51.83149;7.28075
Frankenthal;Frankental|Frankental';RP;47438;49.53414;8.35357
Herzogenrath;;NW;47381;50.86874;6.09317
